# swp_version: 0.1.0
# swp_git_commit: 5bd8c717c95bebc32a1c25562763a2ad57f6c3f4
# swp_git_branch: review-followup
# swp_git_dirty: 83 modified: README.md, configs/passive.yaml, docs/HANDOFF.md, docs/low_snr_extraction_sweep.md, docs/passive_search.md, docs/phantom_parameter_sweep.md, scripts/ablation.py -> scripts/archive/ablation.py, scripts/aperture_trend.py -> scripts/archive/aperture_trend.py, scripts/caenen_analyze.py -> scripts/archive/caenen_analyze.py, scripts/caenen_methods.py -> scripts/archive/caenen_methods.py, ... (+73)
# swp_git_diff_sha256: aea29eae4ecf8823b49ef99d53c5b3a999200a6732f6369114a0bc647cc607e4
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T09:51:10+00:00
# keras_backend: torch
# command: invivo_recipe_contrast.py
# config_sha256: 1952ebd3ff4ddf5c18c73ae4bf8ccbfc8d188ee7f241834779391fcc0bf5e10f
dataset,push,recipe,oc_push,oc_nopush,sym_push,sym_nopush,amp_push,amp_nopush,d_oc,log2_amp
iv0804_30V,m3,caenen,0.6419654711739609,0.5486792412014719,0.0649390951165055,0.23211577779035433,0.01214496747325336,0.007400523227733593,0.09328622997248892,0.7146594460482747
iv0804_30V,m3,caenen_dir,0.6179473126105972,0.6344661760129947,0.3478003906142707,0.22458450204451866,0.0014696841938956098,0.0034016413658135474,-0.0165188634023975,-1.2107248643510364
iv0804_30V,m3,caenen_cont,0.5750521397604021,0.6817334386866273,0.20281149250924624,0.4338720412368398,0.00217500678551201,0.0030336377546925654,-0.10668129892622513,-0.4800289224703291
iv0804_30V,m3,caenen_cont_gian,0.5777039522433672,0.6818100962869875,0.18699441584811025,0.43544551321570746,0.002104851715584218,0.0030218505693337962,-0.10410614404362029,-0.5217137202801325
iv0804_30V,m4,current,0.9520212133068844,0.9507920398493168,0.6460292161365212,0.25276174213221503,5.683456757018122e-06,1.1145961401173465e-05,0.0012291734575675672,-0.9716804935623691
iv0804_30V,m4,f2f_current,0.8281480964551438,0.7955303803856232,-0.04717652356323693,-0.1698245302966753,0.006344499594196207,0.009607687019477227,0.032617716069520575,-0.5986827747414233
iv0804_30V,m4,caenen,0.5073769838441642,0.592335393758925,0.03809861762930104,-0.280574561956293,0.07298581134055394,0.060179293130660165,-0.08495840991476078,0.2783488662368526
iv0804_30V,m4,caenen_dir,0.6483451715616875,0.771631922342325,-0.3448251214417809,-0.4408414172819014,0.030609644695422853,0.03164757403638859,-0.12328675078063756,-0.04810861451357917
iv0804_30V,m4,caenen_cont,0.7391433464423158,0.7463654714539474,-0.010963458878417086,-0.25406064297621817,0.03280421521066493,0.03527868010070566,-0.007222125011631553,-0.10491537831133041
iv0804_30V,m4,caenen_cont_gian,0.7367704624111738,0.7462621377144755,-0.01697284121511909,-0.2553867121014753,0.032584097820653087,0.03521513761287014,-0.009491675303301639,-0.1120276698950616
iv0804_30V,m5,current,0.7618673200134607,0.9617665228257308,0.7769036078644985,0.8303734933153815,2.995340759434075e-06,1.2390138743080703e-05,-0.19989920281227014,-2.048400299659086
iv0804_30V,m5,f2f_current,0.5767428505706202,0.8740038814336037,0.7305887226497706,0.5154875746899775,0.0012483315064852382,0.002184507187587065,-0.2972610308629835,-0.8073067459468833
iv0804_30V,m5,caenen,0.5191312251019584,0.6650145986554501,0.27557467056628504,0.5807781318704363,0.004451462627660508,0.006586429130993308,-0.14588337355349168,-0.5652170683703748
iv0804_30V,m5,caenen_dir,0.5829814376612497,0.8266075549404565,0.6780670052590676,0.4948850421553406,0.0017490055087199985,0.0023297779241628048,-0.2436261172792068,-0.413657609649576
iv0804_30V,m5,caenen_cont,0.7433790591147301,0.7575190274897039,0.5563057230844834,0.30150191896624207,0.0013740510403613521,0.001435063637083858,-0.014139968374973777,-0.06267911845778142
iv0804_30V,m5,caenen_cont_gian,0.7435922899815077,0.7513390085216501,0.5619103791074015,0.3203274629871033,0.0014241714004601322,0.0013913989015961082,-0.0077467185401424166,0.03358669963243675
iv0804_30V,m6,current,0.9879103447924068,0.9613745312955725,0.9075316544247545,0.37476358465201803,1.0333385266545279e-05,1.7091846460058997e-05,0.026535813496834315,-0.7259952966832247
iv0804_30V,m6,f2f_current,0.8544534604257512,0.6778481097012458,0.48866533073837864,0.2822013132343681,0.0041223184944465426,0.004946937392989475,0.17660535072450545,-0.2630796680364863
iv0804_30V,m6,caenen,0.7024862945822006,0.5914596472574775,0.16979065027035584,0.2066697388303117,0.014446903453316621,0.021716581712393313,0.11102664732472312,-0.5880367354604419
iv0804_30V,m6,caenen_dir,0.860926712180514,0.6768594212692574,0.5736150402926044,0.5403518718869349,0.00512762986148947,0.007681054598450409,0.18406729091125662,-0.5830122800124182
