# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 9 modified: .gitignore, configs/passive.yaml, docs/TODO.md, docs/review_followup_2026-09-24.md, report/README.md, study/analysis/field_stage4.py, study/analysis/manual_slope.py, study/analysis/passive_methods_atlas.py, study/analysis/score_panels.py
# swp_git_diff_sha256: 0e27e4212c1e2699007754a9fd030906bb557b7b5446f98bdb684fd939e3f673
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T15:17:07+00:00
# keras_backend: torch
# command: passive_atlas_all15.py --lines b3to4 --sets v2
# config_sha256: 81dc8c278c2eb5c48e70b417179ec66d0d8f9c667b1e181c928f0ecda77f7ffc
line,set,family,recipe,clear,plausible,guess_none,separation,n
b3,v1,temporal,moving median 5,2.0870186411376332,1.8744087423799363,1.5983950990148772,0.48862354212275605,15
b3,v1,mline,1 line,2.05206571007308,1.8583304202958868,1.540568573417814,0.5114971366552661,15
b3,v1,mline,5 lines x 0.5 mm (view A),2.0917374386267937,1.8778008574628406,1.6010764054624567,0.49066103316433707,15
b3,v1,mline,9 lines x 0.8 mm,2.2111019700775243,1.9109906057300035,1.7492133752469683,0.461888594830556,15
b3,v1,mline,15 lines x 0.8 mm,2.2343423829523106,1.8775785295962921,1.8861834599231702,0.3481589230291404,15
b3,v1,motion,band-pass 10-150 (view A),2.0917374386267937,1.8778008574628406,1.6010764054624567,0.49066103316433707,15
b3,v1,motion,+ IQ slow-time low-pass 250 Hz,2.101227568088344,1.8664306415250118,1.609549875583523,0.4916776925048212,15
b3,v1,motion,+ IQ SVD clutter (1 component),2.1014813572544417,1.8004637753964652,1.6409816610762489,0.46049969617819286,15
b3,v1,motion,polynomial detrend (order 3) + low-pass 150,1.8552693872396528,1.8149483903627723,1.7172075168678433,0.1380618703718095,15
b3,v1,motion,high-pass 5 Hz only (bulk motion kept),1.7983841057987544,1.5237916923137513,1.6242480026411532,0.1741361031576012,15
b3,v1,literature,"Keijzer 2019/20: IQ low-pass 250, velocity, R1 Gauss 4 mm, 15-100 Hz",2.2213959033005617,2.0641415318683074,1.7168504103005588,0.5045454930000028,15
b3,v1,literature,"Petrescu / Santos: acceleration, velocity mean 3",2.3128351171435995,1.7927447161554737,1.5263972731067215,0.786437844036878,15
b3,v1,literature,"Espeland 2024 CFWI: 2 cm/s clutter filter, envelope derivative",2.212220028755265,2.174523881519471,2.0459123884939774,0.16630764026128775,15
b3,v1,views,"A: displacement, 10-150, Gauss 0.6, mean 3, 5 lines",2.0917374386267937,1.8778008574628406,1.6010764054624567,0.49066103316433707,15
b3,v1,views,"B: displacement, 5-150, median 1 x 2, no temporal, 9 lines",1.816152522469367,1.5308760851755414,1.6356315549345477,0.1805209675348194,15
b3,v1,views,"C: velocity, 15-90, Gauss 1.0 x 2.0, mean 5, 9 lines",2.472655275896873,2.234788901663268,1.7564220652997182,0.7162332105971547,15
b3,v2,spatial,none,1.808262584844471,1.6936615952413154,1.1855445001306408,0.6227180847138303,15
b3,v2,spatial,Gaussian 0.3 x 0.6 mm,1.9865210516089404,2.0124211746707568,1.425462182188899,0.5610588694200414,15
b3,v2,spatial,Gaussian 0.6 x 1.2 mm (default),2.2463130863161522,2.1737661778510846,1.6049767205247434,0.6413363657914088,15
b3,v2,spatial,Gaussian 1.0 x 2.0 mm,2.4133625627320825,2.2140962640564825,1.757116248782193,0.6562463139498895,15
b3,v2,spatial,Gaussian 1.5 x 3.0 mm,2.447496790347146,2.276042919048033,1.8265512100835488,0.6209455802635973,15
b3,v2,spatial,Gaussian 2.0 x 4.0 mm,2.454859845861378,2.3480800730490863,1.824551698683179,0.6303081471781993,15
b3,v2,spatial,median 1.0 x 2.0 mm,1.9755865229034466,2.047038848449545,1.3772202593137433,0.5983662635897034,15
b3,v2,temporal,none,2.242805479812338,2.183632582193312,1.5744704014337263,0.6683350783786117,15
b3,v2,temporal,moving mean 3 (default),2.2463130863161522,2.1737661778510846,1.6049767205247434,0.6413363657914088,15
b3,v2,temporal,moving mean 5,2.270518925718817,2.1308918163903443,1.62712465033138,0.6433942753874371,15
b3,v2,temporal,moving mean 7,2.2768670559919486,2.0802124846804237,1.6241167678121289,0.6527502881798197,15
b3,v2,temporal,moving mean 9,2.2249404398732953,2.066662959036288,1.6362328160830328,0.5887076237902624,15
b3,v2,temporal,moving median 5,2.259671017282618,2.1451847401404356,1.609719769706862,0.6499512475757561,15
b3,v2,temporal,"Savitzky-Golay 9, order 3",2.2605727579968615,2.171466413759791,1.6231198747814517,0.6374528832154098,15
b3,v2,mline,1 line,2.1748458951699616,2.1424362552371417,1.495151821312221,0.6796940738577406,15
